winner_ioc,loser_ioc,winner_hand,loser_hand,num_winners,avg_winner_age,max_loser_age
MDA,AUS,R,R,1,33.2,26.8
ESP,GBR,R,L,2,19.75,27.4
ESP,ESP,R,R,8,26.981818181818184,35.0
ARG,COL,R,R,3,23.400000000000002,27.1
NED,NED,R,L,1,26.6,26.9
SUI,FRA,R,R,2,32.23333333333333,36.6
SUI,KAZ,R,R,2,37.75,25.6
RUS,ESP,R,R,16,26.655,36.9
CAN,AUS,R,R,2,22.8,29.7
AUS,ESP,R,L,5,29.21666666666667,39.3
CHI,ARG,R,R,7,27.0625,33.2
FRA,ITA,R,R,6,24.4,30.6
NED,SWE,L,R,1,26.9,26.8
USA,ESP,R,L,3,26.549999999999997,41.4
ITA,SWE,R,R,4,24.020000000000003,27.4
ITA,SVK,R,L,1,26.8,25.2
RUS,RUS,R,R,12,26.78666666666667,29.8
RUS,SRB,R,R,8,26.58888888888889,35.7
SRB,NED,R,R,4,33.3,27.5
SWE,ITA,R,R,1,24.4,22.1
CHI,GER,R,R,2,27.450000000000003,31.2
ITA,COL,U,R,1,29.6,26.6
CHI,AUT,R,R,1,26.7,29.4
ESP,RUS,R,R,6,24.5,27.7
ESP,CAN,R,R,1,19.8,22.5
USA,CHI,R,L,1,25.1,25.7
GBR,MDA,R,R,1,35.8,33.3
SUI,SRB,R,R,1,37.9,23.5
FRA,CAN,L,L,1,24.6,23.8
ARG,BRA,L,L,2,32.95,29.1
GBR,SUI,L,R,1,21.2,21.1
HUN,USA,R,R,4,31.275,29.9
ITA,ESP,R,R,8,25.525,35.0
RUS,ARG,R,R,6,25.814285714285717,27.7
ITA,RUS,R,R,11,23.953846153846158,29.7
GRE,CRO,R,R,4,24.750000000000004,26.7
GBR,USA,L,R,4,24.9,29.4
GRE,BEL,U,R,1,18.3,23.5
GRE,BUL,R,R,1,24.3,31.6
CZE,GER,R,R,2,21.3,33.0
GBR,ESP,R,L,1,32.6,34.9
CRO,ARG,R,R,2,25.975,31.2
CRO,ESP,R,R,3,29.0,30.1
NED,ITA,R,R,2,26.833333333333332,31.3
ITA,IND,R,R,1,20.6,25.9
AUS,AUS,R,R,9,26.77777777777778,29.1
JPN,SWE,L,R,1,27.3,24.3
CHN,GER,L,R,1,17.9,29.5
JPN,FRA,R,R,2,26.566666666666666,33.8
AUS,SUI,R,L,3,28.825000000000003,27.2
AUS,FRA,R,L,8,27.1375,35.0
DEN,FRA,R,L,1,19.7,24.5
CZE,CAN,R,R,1,21.1,22.4
ARG,ESP,L,R,1,21.2,37.0
BOL,ARG,R,R,1,29.6,27.8
CHN,CAN,R,L,2,24.9,24.0
USA,CRO,R,R,3,26.866666666666664,26.5
ITA,ITA,R,R,14,24.25625,35.8
FRA,FRA,R,U,1,26.2,21.6
FIN,JPN,R,R,1,23.9,30.1
ITA,BUL,R,R,2,21.8,32.3
RUS,SVK,R,L,3,26.0,25.4
JPN,GER,R,R,1,30.1,25.9
SRB,FRA,R,L,3,25.233333333333334,24.7
ARG,USA,R,U,1,24.5,24.5
SUI,ESP,L,L,1,26.7,35.1
FIN,POR,R,R,1,23.9,26.0
USA,FRA,L,R,1,20.4,30.8
AUT,ESP,L,L,1,23.8,35.2
USA,ARG,R,L,2,35.75,33.0
BUL,FRA,R,R,2,30.75,29.1
